"pos","view_count"
1,49264
2,37554
3,35269
4,31814
5,31346
6,25624
7,23769
8,22456
9,22228
10,21112
11,20283
12,19473
13,19458
14,18307
15,18297
16,17994
17,17597
18,17480
19,16980
20,16884
21,16865
22,16408
23,16278
24,16012
25,15588
26,15498
27,15265
28,15167
29,15148
30,15105
31,15086
32,15061
33,14954
34,14777
35,14635
36,14572
37,14395
38,14384
39,14355
40,14134
41,13937
42,13818
43,13663
44,13582
45,13581
46,13569
47,13379
48,13324
49,13321
50,13107
51,13100
52,13061
53,12932
54,12904
55,12853
56,12824
57,12741
58,12692
59,12648
60,12613
61,12559
62,12556
63,12463
64,12459
65,12422
66,12409
67,12406
68,12400
69,12339
70,12319
71,12290
72,12254
73,12187
74,12187
75,12000
76,11879
77,11786
78,11781
79,11661
80,11659
81,11658
82,11555
83,11534
84,11532
85,11530
86,11488
87,11448
88,11395
89,11379
90,11323
91,11316
92,11307
93,11289
94,11259
95,11151
96,11137
97,11136
98,11115
99,11106
100,11065
101,11030
102,11000
103,10878
104,10861
105,10851
106,10826
107,10820
108,10795
109,10794
110,10791
111,10759
112,10756
113,10732
114,10727
115,10652
116,10631
117,10630
118,10626
119,10595
120,10533
121,10511
122,10506
123,10483
124,10442
125,10432
126,10364
127,10359
128,10345
129,10306
130,10285
131,10261
132,10246
133,10239
134,10239
135,10217
136,10206
137,10202
138,10188
139,10178
140,10162
141,10103
142,10099
143,10083
144,10049
145,10033
146,9986
147,9969
148,9957
149,9938
150,9937
151,9903
152,9860
153,9845
154,9832
155,9829
156,9800
157,9790
158,9762
159,9745
160,9712
161,9689
162,9666
163,9645
164,9637
165,9610
166,9600
167,9594
168,9588
169,9567
170,9560
171,9545
172,9509
173,9498
174,9498
175,9453
176,9446
177,9439
178,9438
179,9432
180,9432
181,9429
182,9406
183,9400
184,9391
185,9385
186,9370
187,9356
188,9346
189,9325
190,9295
191,9295
192,9256
193,9255
194,9236
195,9228
196,9226
197,9217
198,9198
199,9196
200,9185
201,9172
202,9164
203,9163
204,9157
205,9156
206,9141
207,9126
208,9125
209,9121
210,9114
211,9112
212,9073
213,9069
214,9065
215,9058
216,9057
217,9053
218,9006
219,8992
220,8990
221,8987
222,8977
223,8943
224,8903
225,8867
226,8855
227,8852
228,8849
229,8831
230,8823
231,8814
232,8810
233,8808
234,8800
235,8786
236,8767
237,8741
238,8731
239,8722
240,8710
241,8707
242,8701
243,8696
244,8695
245,8688
246,8670
247,8666
248,8664
249,8661
250,8631
251,8612
252,8597
253,8597
254,8593
255,8589
256,8587
257,8576
258,8575
259,8571
260,8543
261,8527
262,8510
263,8494
264,8487
265,8482
266,8482
267,8464
268,8461
269,8460
270,8440
271,8430
272,8423
273,8414
274,8405
275,8389
276,8389
277,8389
278,8382
279,8382
280,8375
281,8368
282,8367
283,8365
284,8365
285,8362
286,8357
287,8350
288,8347
289,8331
290,8328
291,8325
292,8321
293,8319
294,8301
295,8280
296,8272
297,8264
298,8259
299,8253
300,8243
301,8243
302,8233
303,8231
304,8227
305,8225
306,8217
307,8208
308,8198
309,8181
310,8179
311,8157
312,8146
313,8141
314,8138
315,8131
316,8124
317,8112
318,8097
319,8096
320,8093
321,8093
322,8085
323,8084
324,8081
325,8074
326,8072
327,8065
328,8064
329,8063
330,8040
331,8036
332,8025
333,8023
334,8015
335,8014
336,7998
337,7983
338,7982
339,7977
340,7977
341,7965
342,7927
343,7926
344,7925
345,7919
346,7919
347,7918
348,7911
349,7905
350,7892
351,7890
352,7880
353,7873
354,7863
355,7861
356,7859
357,7842
358,7837
359,7834
360,7824
361,7822
362,7820
363,7811
364,7809
365,7804
366,7798
367,7789
368,7788
369,7788
370,7787
371,7782
372,7759
373,7752
374,7748
375,7742
376,7725
377,7720
378,7703
379,7695
380,7693
381,7692
382,7691
383,7683
384,7680
385,7678
386,7676
387,7676
388,7670
389,7666
390,7659
391,7658
392,7648
393,7646
394,7632
395,7625
396,7623
397,7618
398,7617
399,7616
400,7597
401,7590
402,7589
403,7586
404,7577
405,7568
406,7567
407,7552
408,7536
409,7535
410,7521
411,7510
412,7508
413,7508
414,7500
415,7500
416,7499
417,7494
418,7488
419,7482
420,7471
421,7469
422,7462
423,7461
424,7458
425,7456
426,7454
427,7452
428,7449
429,7447
430,7436
431,7434
432,7428
433,7421
434,7421
435,7401
436,7388
437,7384
438,7381
439,7376
440,7373
441,7368
442,7362
443,7357
444,7357
445,7351
446,7351
447,7350
448,7347
449,7339
450,7336
451,7327
452,7301
453,7300
454,7290
455,7288
456,7284
457,7282
458,7269
459,7264
460,7263
461,7262
462,7259
463,7250
464,7245
465,7240
466,7230
467,7224
468,7217
469,7215
470,7210
471,7205
472,7203
473,7196
474,7190
475,7189
476,7189
477,7179
478,7177
479,7176
480,7176
481,7166
482,7161
483,7154
484,7153
485,7137
486,7136
487,7133
488,7133
489,7126
490,7121
491,7116
492,7112
493,7105
494,7101
495,7101
496,7100
497,7100
498,7099
499,7091
500,7090
501,7086
502,7062
503,7060
504,7051
505,7050
506,7045
507,7043
508,7040
509,7039
510,7038
511,7034
512,7032
513,7030
514,7028
515,7025
516,7023
517,7023
518,7016
519,7012
520,7007
521,7007
522,6998
523,6991
524,6989
525,6988
526,6982
527,6980
528,6978
529,6973
530,6972
531,6966
532,6964
533,6962
534,6958
535,6949
536,6947
537,6947
538,6946
539,6945
540,6930
541,6912
542,6903
543,6902
544,6899
545,6898
546,6896
547,6887
548,6881
549,6878
550,6878
551,6878
552,6876
553,6869
554,6868
555,6867
556,6866
557,6864
558,6859
559,6857
560,6856
561,6847
562,6846
563,6839
564,6839
565,6836
566,6835
567,6832
568,6828
569,6826
570,6824
571,6823
572,6823
573,6819
574,6818
575,6815
576,6815
577,6812
578,6811
579,6809
580,6800
581,6799
582,6797
583,6796
584,6796
585,6788
586,6787
587,6783
588,6774
589,6773
590,6771
591,6761
592,6760
593,6758
594,6755
595,6753
596,6753
597,6749
598,6746
599,6745
600,6744
601,6744
602,6740
603,6737
604,6730
605,6729
606,6729
607,6726
608,6724
609,6723
610,6720
611,6718
612,6712
613,6710
614,6708
615,6706
616,6706
617,6701
618,6699
619,6697
620,6694
621,6687
622,6686
623,6685
624,6684
625,6682
626,6682
627,6681
628,6680
629,6679
630,6679
631,6679
632,6678
633,6675
634,6674
635,6673
636,6672
637,6667
638,6664
639,6661
640,6658
641,6658
642,6652
643,6648
644,6647
645,6644
646,6636
647,6634
648,6634
649,6634
650,6633
651,6633
652,6630
653,6625
654,6623
655,6622
656,6620
657,6620
658,6615
659,6615
660,6614
661,6613
662,6608
663,6607
664,6605
665,6603
666,6603
667,6599
668,6598
669,6597
670,6591
671,6585
672,6584
673,6573
674,6570
675,6566
676,6555
677,6550
678,6549
679,6545
680,6545
681,6543
682,6540
683,6538
684,6537
685,6536
686,6534
687,6532
688,6532
689,6531
690,6525
691,6523
692,6520
693,6520
694,6519
695,6519
696,6518
697,6517
698,6514
699,6512
700,6510
701,6509
702,6508
703,6506
704,6504
705,6504
706,6502
707,6498
708,6490
709,6486
710,6485
711,6485
712,6480
713,6475
714,6472
715,6470
716,6467
717,6465
718,6465
719,6464
720,6458
721,6458
722,6457
723,6456
724,6454
725,6453
726,6451
727,6448
728,6447
729,6447
730,6443
731,6442
732,6441
733,6437
734,6437
735,6437
736,6436
737,6430
738,6429
739,6426
740,6421
741,6421
742,6419
743,6417
744,6415
745,6415
746,6414
747,6410
748,6409
749,6408
750,6406
751,6404
752,6404
753,6401
754,6394
755,6393
756,6392
757,6392
758,6392
759,6391
760,6390
761,6388
762,6387
763,6381
764,6380
765,6376
766,6375
767,6374
768,6373
769,6371
770,6369
771,6368
772,6365
773,6364
774,6363
775,6363
776,6361
777,6361
778,6360
779,6358
780,6357
781,6356
782,6356
783,6356
784,6355
785,6351
786,6346
787,6345
788,6344
789,6339
790,6338
791,6335
792,6330
793,6328
794,6323
795,6323
796,6322
797,6322
798,6321
799,6320
800,6320
801,6319
802,6316
803,6312
804,6310
805,6304
806,6302
807,6301
808,6298
809,6297
810,6295
811,6294
812,6294
813,6292
814,6292
815,6288
816,6287
817,6285
818,6284
819,6282
820,6282
821,6279
822,6278
823,6277
824,6276
825,6274
826,6270
827,6270
828,6261
829,6258
830,6258
831,6258
832,6257
833,6256
834,6254
835,6250
836,6250
837,6248
838,6247
839,6247
840,6247
841,6247
842,6240
843,6239
844,6237
845,6237
846,6236
847,6235
848,6232
849,6231
850,6230
851,6228
852,6227
853,6226
854,6226
855,6226
856,6223
857,6223
858,6220
859,6220
860,6218
861,6217
862,6213
863,6211
864,6211
865,6210
866,6210
867,6209
868,6206
869,6205
870,6203
871,6200
872,6196
873,6193
874,6192
875,6191
876,6191
877,6190
878,6189
879,6187
880,6185
881,6185
882,6184
883,6183
884,6181
885,6181
886,6181
887,6180
888,6180
889,6178
890,6178
891,6173
892,6171
893,6170
894,6167
895,6166
896,6164
897,6164
898,6159
899,6156
900,6156
901,6149
902,6148
903,6147
904,6147
905,6145
906,6144
907,6140
908,6139
909,6138
910,6137
911,6136
912,6136
913,6136
914,6135
915,6133
916,6131
917,6131
918,6129
919,6126
920,6124
921,6123
922,6121
923,6120
924,6116
925,6114
926,6112
927,6108
928,6108
929,6106
930,6105
931,6103
932,6101
933,6098
934,6095
935,6090
936,6088
937,6087
938,6086
939,6084
940,6082
941,6080
942,6080
943,6078
944,6074
945,6069
946,6069
947,6066
948,6066
949,6062
950,6059
951,6056
952,6054
953,6050
954,6049
955,6049
956,6048
957,6045
958,6045
959,6044
960,6044
961,6040
962,6039
963,6038
964,6036
965,6036
966,6035
967,6034
968,6029
969,6025
970,6025
971,6024
972,6024
973,6023
974,6023
975,6022
976,6021
977,6020
978,6017
979,6016
980,6016
981,6014
982,6012
983,6011
984,6005
985,6004
986,5998
987,5994
988,5993
989,5988
990,5988
991,5986
992,5986
993,5986
994,5986
995,5983
996,5983
997,5980
998,5979
999,5979
1000,5977
1001,5977
1002,5975
1003,5974
1004,5973
1005,5972
1006,5972
1007,5970
1008,5969
1009,5967
1010,5965
1011,5961
1012,5960
1013,5955
1014,5954
1015,5952
1016,5947
1017,5945
1018,5942
1019,5941
1020,5940
1021,5938
1022,5937
1023,5937
1024,5937
1025,5937
1026,5934
1027,5933
1028,5932
1029,5924
1030,5923
1031,5920
1032,5920
1033,5920
1034,5914
1035,5912
1036,5912
1037,5911
1038,5908
1039,5906
1040,5906
1041,5905
1042,5903
1043,5898
1044,5897
1045,5897
1046,5895
1047,5895
1048,5894
1049,5894
1050,5891
1051,5890
1052,5887
1053,5882
1054,5881
1055,5879
1056,5878
1057,5878
1058,5876
1059,5874
1060,5874
1061,5869
1062,5869
1063,5867
1064,5867
1065,5864
1066,5861
1067,5860
1068,5860
1069,5859
1070,5859
1071,5858
1072,5858
1073,5856
1074,5855
1075,5854
1076,5851
1077,5848
1078,5844
1079,5843
1080,5838
1081,5830
1082,5829
1083,5827
1084,5825
1085,5822
1086,5822
1087,5822
1088,5815
1089,5814
1090,5813
1091,5813
1092,5813
1093,5813
1094,5812
1095,5810
1096,5809
1097,5808
1098,5806
1099,5804
1100,5801
1101,5800
1102,5794
1103,5793
1104,5791
1105,5791
1106,5789
1107,5786
1108,5785
1109,5783
1110,5780
1111,5780
1112,5780
1113,5778
1114,5777
1115,5773
1116,5771
1117,5769
1118,5768
1119,5768
1120,5767
1121,5761
1122,5759
1123,5753
1124,5753
1125,5750
1126,5749
1127,5747
1128,5746
1129,5743
1130,5739
1131,5737
1132,5737
1133,5736
